Class Time;Attendance Status;Stress Level (GSR);Sleep Hours;Anxiety Level;Mood Score;Risk Level;pre1;pre2;pre3;pre4;pre5;pre6;pre7;pre8;pre9;pre10;pre11;pre12;pre13;pre14;pre15
18:00:00;Absent;2.69;8.5;9;3;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Often;Always;Major impact;Often (5-6 times a week);Every day;Rarely (1-2 times a week);Extremely high stress;Below Average
18:00:00;Present;4.71;6.2;5;7;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
21:00:00;Absent;2.14;7.6;1;2;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Often;Often;Always;Major impact;Every night;Every day;Every day;High stress;Poor
20:00:00;Present;3.36;6;9;3;Medium;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Major impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Below Average
20:00:00;Absent;4.61;5.4;4;4;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Often;Always;Major impact;Every night;Every day;Often (5-6 times a week);High stress;Below Average
18:00:00;Late;3.31;8.7;1;8;Low;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;No stress;Below Average
19:00:00;Late;4.69;6.9;10;10;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Moderate impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Poor
18:00:00;Absent;1.86;8.5;6;9;High;Graduate student;Female;Every night;7-8 hours;Every night;Very good;Always;Often;Rarely (1-2 times a month);Major impact;Every night;Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Present;2.84;5.3;3;3;Medium;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Every night;Very good;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
20:00:00;Absent;1.07;6.8;8;7;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Poor;Often;Often;Often (3-4 times a week);Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Late;2.82;7.2;10;7;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Always;Major impact;Sometimes (3-4 times a week);Every day;Every day;High stress;Poor
16:00:00;Absent;0.74;7.9;1;10;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Always;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
21:00:00;Absent;1.19;5.3;5;5;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Always;Always;Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
15:00:00;Present;3.79;7;8;4;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Often;Always;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;2.7;5.5;9;1;Medium;Second year;Male;Sometimes (3-4 times a week);7-8 hours;Every night;Very poor;Often;Often;Always;Major impact;Sometimes (3-4 times a week);Every day;Every day;High stress;Below Average
19:00:00;Present;3.78;7.1;10;4;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Good;Always;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Low stress;Below Average
19:00:00;Present;1.27;8.4;9;8;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Always;Always;Major impact;Rarely (1-2 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Late;4.3;8.3;4;3;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Very good;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
20:00:00;Present;1.9;7.3;1;7;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;High stress;Average
20:00:00;Present;3.44;8.8;5;1;Medium;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Always;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Poor
17:00:00;Late;3.38;7.9;5;3;Medium;Graduate student;Male;Every night;More than 8 hours;Rarely (1-2 times a week);Very good;Often;Often;Always;Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
18:00:00;Absent;0.96;7.1;3;6;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Sometimes;Always;Always;Severe impact;Every night;Rarely (1-2 times a week);Every day;High stress;Poor
17:00:00;Present;0.79;7.3;4;5;Low;Graduate student;Female;Every night;More than 8 hours;Often (5-6 times a week);Poor;Often;Always;Often (3-4 times a week);Minor impact;Every night;Every day;Every day;High stress;Below Average
22:00:00;Present;1.44;5.5;1;3;Medium;Third year;Male;Every night;6-7 hours;Often (5-6 times a week);Good;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
20:00:00;Late;4.43;7.8;3;4;High;Graduate student;Male;Every night;More than 8 hours;Every night;Very poor;Often;Sometimes;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
19:00:00;Present;3.91;8.2;3;6;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Poor;Often;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
18:00:00;Absent;1.35;7.9;10;8;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Good;Sometimes;Often;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
18:00:00;Present;2.4;5.3;6;10;Low;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;High stress;Below Average
16:00:00;Late;0.97;5.3;4;10;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Sometimes;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Absent;4.64;7.4;9;2;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Sometimes;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Absent;3.7;7.6;7;7;High;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Very poor;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Rarely (1-2 times a week);Often (5-6 times a week);Extremely high stress;Below Average
20:00:00;Absent;4.38;7.8;1;3;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Poor
20:00:00;Absent;0.67;7.1;9;3;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Good;Always;Sometimes;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
21:00:00;Late;4.91;6.2;8;2;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Poor;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Late;3.63;7.3;1;1;High;Graduate student;Male;Every night;4-5 hours;Often (5-6 times a week);Good;Often;Always;Often (3-4 times a week);Moderate impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Below Average
19:00:00;Absent;3.47;7.9;10;3;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Good;Always;Often;Sometimes (1-2 times a week);Severe impact;Rarely (1-2 times a week);Every day;Every day;High stress;Poor
18:00:00;Absent;4.72;8.9;2;5;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Often;Always;Minor impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Absent;2.35;8.2;6;3;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Always;Sometimes;Rarely (1-2 times a month);Severe impact;Sometimes (3-4 times a week);Every day;Sometimes (3-4 times a week);High stress;Poor
19:00:00;Absent;1.07;7.8;5;10;High;Graduate student;Male;Every night;More than 8 hours;Sometimes (3-4 times a week);Very good;Always;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Present;2.59;5.3;8;10;Medium;Graduate student;Female;Every night;7-8 hours;Every night;Very poor;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
15:00:00;Present;1.92;5.2;4;1;Medium;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
18:00:00;Present;1.68;8.6;2;4;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Average;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
18:00:00;Present;3.55;8.6;1;6;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Always;Sometimes (1-2 times a week);Major impact;Rarely (1-2 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
21:00:00;Absent;2.13;6.7;7;4;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Rarely;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);Low stress;Below Average
16:00:00;Present;0.68;7.1;6;5;Low;Graduate student;Female;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Always;Never;Severe impact;Rarely (1-2 times a week);Every day;Often (5-6 times a week);High stress;Poor
18:00:00;Absent;0.78;8.5;10;8;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
20:00:00;Present;2.54;5.7;5;10;Low;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Absent;2.36;7.7;2;10;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Late;4.56;7.8;3;6;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Rarely (1-2 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Present;1.71;7.6;8;4;Medium;Graduate student;Male;Every night;More than 8 hours;Every night;Very poor;Often;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Low stress;Below Average
18:00:00;Absent;0.73;6.1;6;2;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Sometimes (1-2 times a week);Major impact;Every night;Every day;Every day;High stress;Poor
20:00:00;Late;2.94;6.1;7;1;Medium;Third year;Male;Every night;More than 8 hours;Every night;Very poor;Always;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
16:00:00;Absent;3.81;5.6;8;10;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Always;Always;Sometimes (1-2 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Late;3.49;8.8;9;8;Medium;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Average;Always;Often;Always;Major impact;Sometimes (3-4 times a week);Every day;Often (5-6 times a week);Extremely high stress;Average
20:00:00;Late;2.66;8.7;1;9;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Good;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;High stress;Average
18:00:00;Late;1.63;8;2;4;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Often;Rarely (1-2 times a month);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Absent;3.53;7.5;6;8;High;Second year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Average;Always;Always;Always;Major impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
20:00:00;Present;3.21;8.2;5;6;Low;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
19:00:00;Late;1.78;6.1;6;4;Low;Graduate student;Female;Every night;More than 8 hours;Every night;Very good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Low stress;Average
16:00:00;Late;3.74;5.5;1;7;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Rarely (1-2 times a week);Very poor;Always;Always;Always;Moderate impact;Sometimes (3-4 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Absent;2.02;8.1;5;2;High;Second year;Female;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Always;Often (3-4 times a week);Severe impact;Rarely (1-2 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
22:00:00;Absent;2.02;6.8;7;8;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Average;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
19:00:00;Late;1.34;6.8;9;5;Medium;Graduate student;Male;Often (5-6 times a week);6-7 hours;Often (5-6 times a week);Average;Always;Always;Always;Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
16:00:00;Late;2.76;6;3;8;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Always;Never;Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
16:00:00;Absent;3.05;5.5;4;4;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
22:00:00;Late;0.67;5.4;9;1;Medium;Graduate student;Male;Every night;7-8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;4.52;7.5;5;2;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Always;Always;Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Below Average
21:00:00;Absent;2.17;8.9;2;3;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Major impact;Every night;Every day;Every day;Extremely high stress;Average
17:00:00;Absent;2.53;7.6;9;8;High;Third year;Male;Every night;7-8 hours;Every night;Very good;Always;Always;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Late;1.73;7.4;6;6;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;High stress;Below Average
18:00:00;Present;4.91;6;3;5;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
16:00:00;Absent;3.7;6.5;6;8;High;Graduate student;Female;Every night;More than 8 hours;Sometimes (3-4 times a week);Very poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);Extremely high stress;Poor
21:00:00;Late;2.99;7.5;9;7;Medium;First year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Sometimes;Always;Major impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
22:00:00;Absent;3.83;6.1;10;2;High;Second year;Female;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Very good;Often;Always;Often (3-4 times a week);Severe impact;Every night;Sometimes (3-4 times a week);Every day;Extremely high stress;Poor
19:00:00;Late;3.95;7.2;1;5;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Sometimes;Sometimes;Sometimes (1-2 times a week);Moderate impact;Rarely (1-2 times a week);Every day;Often (5-6 times a week);Extremely high stress;Average
16:00:00;Present;0.66;7.2;2;6;Low;Graduate student;Male;Every night;More than 8 hours;Every night;Very poor;Always;Often;Always;Severe impact;Every night;Sometimes (3-4 times a week);Every day;Extremely high stress;Average
16:00:00;Absent;3.89;7;9;1;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Good;Always;Always;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
21:00:00;Late;0.6;8.6;4;2;Medium;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very good;Always;Often;Often (3-4 times a week);Minor impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
20:00:00;Present;4.98;7.3;3;5;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Good;Always;Always;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
22:00:00;Absent;1.93;5.7;3;10;High;Third year;Female;Often (5-6 times a week);7-8 hours;Rarely (1-2 times a week);Good;Sometimes;Sometimes;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);Low stress;Below Average
16:00:00;Absent;0.91;8.9;5;9;High;Third year;Male;Every night;7-8 hours;Every night;Very good;Often;Often;Always;Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Late;1.11;5.5;8;8;Medium;Third year;Male;Every night;6-7 hours;Every night;Good;Always;Always;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Present;1.96;8;3;7;Low;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Poor;Always;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Below Average
18:00:00;Late;0.77;5.4;5;2;Medium;Third year;Female;Every night;More than 8 hours;Sometimes (3-4 times a week);Average;Often;Always;Sometimes (1-2 times a week);Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Good
19:00:00;Present;1.71;8.5;6;3;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Poor;Often;Always;Always;Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;High stress;Poor
18:00:00;Late;2.94;7.8;9;1;Medium;Third year;Male;Often (5-6 times a week);More than 8 hours;Rarely (1-2 times a week);Poor;Often;Rarely;Often (3-4 times a week);Severe impact;Every night;Rarely (1-2 times a week);Every day;Extremely high stress;Poor
19:00:00;Absent;4.36;7.6;1;2;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
18:00:00;Present;1.89;5.2;2;8;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Moderate impact;Every night;Sometimes (3-4 times a week);Sometimes (3-4 times a week);High stress;Average
20:00:00;Late;1.05;6.1;1;10;Low;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Rarely;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);Extremely high stress;Below Average
17:00:00;Present;4.74;7.4;5;1;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Rarely (1-2 times a week);Good;Often;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);No stress;Poor
16:00:00;Absent;3.83;6.4;8;10;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Poor;Often;Always;Always;Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Present;2.05;8.9;6;1;Medium;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Sometimes;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
20:00:00;Absent;3.84;5.6;6;5;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
19:00:00;Present;1.45;5.5;6;3;Medium;First year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Always;Often;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
20:00:00;Present;0.68;6.5;9;2;Medium;Second year;Male;Every night;More than 8 hours;Often (5-6 times a week);Poor;Always;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
17:00:00;Late;1.51;7.5;10;5;Medium;Graduate student;Male;Every night;7-8 hours;Sometimes (3-4 times a week);Very good;Always;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Average
16:00:00;Absent;1.24;8.7;1;6;High;Graduate student;Female;Every night;7-8 hours;Every night;Very poor;Often;Always;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
20:00:00;Absent;3.15;5.9;3;7;High;Third year;Male;Every night;More than 8 hours;Every night;Good;Often;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Present;3.28;7.1;6;10;Low;Second year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Sometimes;Often;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
20:00:00;Late;2.27;9;4;8;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Always;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);High stress;Below Average
19:00:00;Late;1.1;5.7;6;2;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;High stress;Below Average
17:00:00;Late;2.68;6.6;3;6;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Always;Sometimes;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Present;2.67;6.5;7;4;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Good;Always;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Present;2.79;7.7;1;8;Low;Graduate student;Female;Every night;6-7 hours;Often (5-6 times a week);Very good;Often;Often;Sometimes (1-2 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Late;2.08;5.9;5;4;Low;Third year;Male;Every night;Less than 4 hours;Often (5-6 times a week);Poor;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Present;2.83;7.6;10;2;Medium;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Average;Rarely;Often;Always;Severe impact;Every night;Every day;Every day;High stress;Poor
19:00:00;Present;1.77;8.4;3;3;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Average;Often;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Below Average
19:00:00;Absent;0.86;6.9;4;3;High;Graduate student;Male;Never;More than 8 hours;Often (5-6 times a week);Poor;Always;Always;Always;Major impact;Every night;Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Present;3.28;8.7;2;8;Low;Second year;Male;Every night;7-8 hours;Sometimes (3-4 times a week);Very poor;Always;Sometimes;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Late;3.99;8.9;9;2;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);High stress;Average
22:00:00;Late;2.83;5.1;5;8;Low;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Often;Always;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Below Average
18:00:00;Late;4.04;7.6;5;2;High;Third year;Male;Often (5-6 times a week);6-7 hours;Often (5-6 times a week);Very poor;Often;Rarely;Always;Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Present;2.82;8.3;3;5;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Always;Sometimes (1-2 times a week);Moderate impact;Every night;Every day;Rarely (1-2 times a week);Extremely high stress;Poor
22:00:00;Late;3.92;6.6;8;8;High;Graduate student;Male;Every night;More than 8 hours;Every night;Very good;Often;Always;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
15:00:00;Absent;2.6;8.6;1;8;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Often;Often;Often (3-4 times a week);Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
20:00:00;Absent;3.38;8.7;6;7;High;Graduate student;Female;Every night;More than 8 hours;Every night;Very good;Often;Often;Always;Major impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
16:00:00;Absent;4.46;5.5;1;4;High;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
20:00:00;Late;1.31;5.5;1;6;Low;Third year;Male;Sometimes (3-4 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Every day;Extremely high stress;Average
